Channels,Channels 26-256
26,87.07957799999986
27,61.81179899999961
28,-34.35404500000027
29,-48.118690000000015
30,-23.81247499999995
31,22.8610349999999
32,-36.167978000000176
33,-51.6531530000002
34,-29.493585000000166
35,30.45272
36,-10.229102000000239
37,5.337868000000071
38,37.32377199999996
39,-4.559600000000046
40,8.893386999999962
41,-30.477420000000052
42,20.833435999999892
43,8.079350999999974
44,-70.61853100000008
45,-16.751378000000045
46,-52.123947000000044
47,-13.24485500000003
48,-15.861216000000013
49,8.652590999999973
50,7.030322999999953
51,14.092769999999973
52,27.15257399999996
53,-26.09733700000004
54,28.69831099999999
55,27.179839000000015
56,-7.44982600000003
57,13.601054999999974
58,-12.109037999999998
59,16.468604999999968
60,-18.10099600000001
61,-21.94630699999999
62,37.508553000000006
63,5.9212309999999775
64,-19.67413300000004
65,-7.389896999999991
66,9.777474999999981
67,39.87358999999998
68,-0.7424990000000093
69,0.5465149999999994
70,3.108210999999983
71,22.859144999999984
72,7.292174999999986
73,35.29630800000001
74,-12.600753000000026
75,-3.0148080000000164
76,10.67870499999998
77,1.2729519999999752
78,11.219415999999995
79,25.10405399999999
80,-45.44982400000001
81,-2.2993040000000065
82,15.698300999999987
83,4.806874999999991
84,-18.144862999999987
85,19.22129099999998
86,3.255603999999977
87,5.992092999999983
88,-0.6225060000000013
89,15.026393999999982
90,-22.804075000000026
91,-1.649398000000005
92,12.175175999999993
93,-14.201290000000014
94,-7.155175
95,2.791288999999992
96,9.558814999999996
97,9.979398000000003
98,1.261883999999995
99,-14.141226000000003
100,-8.777443000000005
101,-0.5733749999999986
102,-5.024995000000004
103,13.628050000000002
104,1.7043329999999912
105,7.608826999999991
106,-27.965800000000016
107,4.326093
108,15.556172000000004
109,15.872958999999994
110,6.090355000000002
111,3.424862999999988
112,4.686611999999997
113,-2.605293000000003
114,16.550264999999982
115,-3.4464590000000044
116,8.182337000000004
117,12.448231000000007
118,3.5887230000000017
119,11.956650999999994
120,14.551146000000003
121,10.612972
122,1.4639419999999888
123,1.1580879999999922
124,5.576908999999986
125,1.638734999999997
126,-6.636330000000001
127,-7.7451520000000045
128,-13.447588000000003
129,3.63785399999999
130,-1.960786000000013
131,16.51746599999999
132,4.468086999999997
133,-12.688352000000009
134,-8.176668000000006
135,2.2013120000000015
136,20.690496999999993
137,4.129434000000003
138,-15.36477700000001
139,1.1143560000000008
140,-13.61144800000001
141,7.401235
142,2.714757999999989
143,-9.766137
144,2.38703799999999
145,-28.839765
146,-2.649025000000009
147,-0.8137660000000011
148,-0.578909000000003
149,7.870948999999996
150,23.601778999999993
151,4.353357999999993
152,4.517218
153,-12.885011000000006
154,-7.275438000000001
155,1.3492129999999989
156,-12.311501000000007
157,10.946090999999996
158,3.828978999999997
159,7.849083
160,-10.066592000000007
161,6.248680999999994
162,20.308111999999994
163,4.9869319999999995
164,-15.162719000000003
165,-4.713742000000003
166,-4.304092000000001
167,7.242773999999997
168,1.7260639999999974
169,-6.887654000000005
170,0.5571780000000004
171,-14.671139
172,-3.7906460000000024
173,6.7621269999999996
174,8.094873
175,-9.542212999999997
176,8.641117999999999
177,4.353357999999993
178,-3.490191000000003
179,0.13119599999998854
180,13.43139099999999
181,-0.36038399999999626
182,25.256845999999996
183,6.101287999999997
184,-7.701420000000013
185,3.168139999999994
186,-12.327832999999998
187,4.2823609999999945
188,15.162853999999996
189,-6.527135000000001
190,-6.958651000000003
191,5.8390309999999985
192,-5.052395000000001
193,10.246918999999998
194,5.128926
195,-8.242266
196,-5.576774
197,-1.8133930000000014
198,-2.7364890000000006
199,4.790272999999999
200,-1.9881860000000025
201,0.021865999999999275
202,-6.0082900000000015
203,-2.3268389999999997
204,-9.433018
205,-5.0851939999999995
206,-0.8193000000000001
207,0.9449619999999985
208,-4.0801680000000005
209,-0.6554400000000005
210,2.780220999999999
211,-6.17215
212,0.852098999999999
213,-2.911282
214,-7.925479000000001
215,-0.6445070000000008
216,3.118873999999998
217,3.2008039999999998
218,-14.867798
219,-1.567603
220,-1.485673000000002
221,-2.490699000000001
222,5.292785999999998
223,3.703317
224,-0.06006400000000056
225,0.43151599999999934
226,2.862150999999999
227,-2.829352
228,0.5134459999999992
229,-1.157953000000001
230,-3.834378
231,4.61548
232,4.112966999999999
233,0.1747930000000002
234,-1.5785360000000006
235,-0.4915800000000008
236,-2.081049000000001
237,-0.4915800000000008
238,4.7793399999999995
239,2.266774999999999
240,-0.4915800000000008
241,-0.40965000000000007
242,2.851218
243,3.271801
244,-0.7483030000000004
245,-3.5066580000000007
246,-3.0041450000000007
247,-5.3419170000000005
248,3.271801
249,1.261749
250,4.861269999999999
251,4.194897
252,4.358757000000001
253,-2.162979
254,2.266774999999999
255,5.866296
256,5.199922999999999
